| Type      | Value               | Line  | Column  | File
| BUS       | bus                 | 54    | 4       | 
| IDENT     | pulse               | 54    | 13      | 
| LPAREN    | (                   | 54    | 13      | 
| RPAREN    | )                   | 54    | 14      | 
| SEMICOLON | ;                   | 54    | 15      | 
| EOL       |                     | 54    | 16      | 
| RBRACE    | }                   | 55    | 2       | 
| EOL       |                     | 55    | 3       | 
| EOL       |                     | 56    | 2       | 
| COMMENT   |  === Implementati...| 57    | 49      | 
| EOL       |                     | 57    | 50      | 
| IMPL      | impl                | 58    | 1       | 
| IDENT     | Engine              | 58    | 12      | 
| LBRACE    | {                   | 58    | 13      | 
| EOL       |                     | 58    | 14      | 
| META      | meta                | 59    | 4       | 
| IDENT     | calibrate           | 59    | 18      | 
| LPAREN    | (                   | 59    | 18      | 
| RPAREN    | )                   | 59    | 19      | 
| LBRACE    | {                   | 59    | 21      | 
| EOL       |                     | 59    | 22      | 
| IDENT     | print               | 60    | 11      | 
| LPAREN    | (                   | 60    | 11      | 
| STRING    | Engine calibrated   | 60    | 30      | 
| RPAREN    | )                   | 60    | 31      | 
| SEMICOLON | ;                   | 60    | 32      | 
| EOL       |                     | 60    | 33      | 
| RBRACE    | }                   | 61    | 4       | 
| EOL       |                     | 61    | 5       | 
| EOL       |                     | 62    | 2       | 
| IMPURE    | impure              | 63    | 4       | 
| IDENT     | reset               | 63    | 16      | 
| LPAREN    | (                   | 63    | 16      | 
| RPAREN    | )                   | 63    | 17      | 
| LBRACE    | {                   | 63    | 19      | 
| EOL       |                     | 63    | 20      | 
| IDENT     | id                  | 64    | 8       | 
| ASSIGN    | =                   | 64    | 9       | 
| INTEGER   | 0                   | 64    | 12      | 
| SEMICOLON | ;                   | 64    | 12      | 
| EOL       |                     | 64    | 13      | 
| IDENT     | name                | 65    | 10      | 
| ASSIGN    | =                   | 65    | 11      | 
| STRING    | reset               | 65    | 19      | 
| SEMICOLON | ;                   | 65    | 20      | 
| EOL       |                     | 65    | 21      | 
| RBRACE    | }                   | 66    | 4       | 
| EOL       |                     | 66    | 5       | 
| EOL       |                     | 67    | 2       | 
| IMPURE    | impure              | 68    | 4       | 
| IDENT     | init                | 68    | 15      | 
| LPAREN    | (                   | 68    | 15      | 
| IDENT     | name                | 68    | 20      | 
| COLON     | :                   | 68    | 20      | 
| IDENT     | string              | 68    | 28      | 
| RPAREN    | )                   | 68    | 28      | 
| LBRACE    | {                   | 68    | 30      | 
| EOL       |                     | 68    | 31      | 
| IDENT     | print               | 69    | 11      | 
| LPAREN    | (                   | 69    | 11      | 
| STRING    | Engine initialized: | 69    | 33      | 
| PLUS      | +                   | 69    | 35      | 
| IDENT     | name                | 69    | 41      | 
| RPAREN    | )                   | 69    | 41      | 
| SEMICOLON | ;                   | 69    | 42      | 
| EOL       |                     | 69    | 43      | 
| RBRACE    | }                   | 70    | 4       | 
| EOL       |                     | 70    | 5       | 
| EOL       |                     | 71    | 2       | 
| PURE      | pure                | 72    | 4       | 
| IDENT     | statusMessage       | 72    | 22      | 
| LPAREN    | (                   | 72    | 22      | 
| IDENT     | code                | 72    | 27      | 
| COLON     | :                   | 72    | 27      | 
| IDENT     | int                 | 72    | 32      | 
| RPAREN    | )                   | 72    | 32      | 
| ARROW     | ->                  | 72    | 34      | 
| IDENT     | string              | 72    | 43      | 
| LBRACE    | {                   | 72    | 44      | 
| EOL       |                     | 72    | 45      | 
| RETURN    | return              | 73    | 6       | 
| IDENT     | code                | 73    | 17      | 
| EQ        | ==                  | 73    | 18      | 
| INTEGER   | 0                   | 73    | 22      | 
| QUESTION_MARK| ?                   | 73    | 23      | 
| STRING    | Ready               | 73    | 31      | 
| COLON     | :                   | 73    | 33      | 
| STRING    | Error               | 73    | 41      | 
| SEMICOLON | ;                   | 73    | 42      | 
| EOL       |                     | 73    | 43      | 
| RBRACE    | }                   | 74    | 4       | 
| EOL       |                     | 74    | 5       | 
| EOL       |                     | 75    | 2       | 
| IMPURE    | impure              | 76    | 4       | 
| IDENT     | evaluate            | 76    | 19      | 
| LPAREN    | (                   | 76    | 19      | 
| IDENT     | mode                | 76    | 24      | 
| COLON     | :                   | 76    | 24      | 
| IDENT     | Mode                | 76    | 30      | 
| RPAREN    | )                   | 76    | 30      | 
| LBRACE    | {                   | 76    | 32      | 
| EOL       |                     | 76    | 33      | 
| IF        | if                  | 77    | 6       | 
| LPAREN    | (                   | 77    | 9       | 
| IDENT     | mode                | 77    | 14      | 
| EQ        | ==                  | 77    | 15      | 
| IDENT     | Mode                | 77    | 22      | 
| DOT       | .                   | 77    | 22      | 
| IDENT     | Start               | 77    | 28      | 
| RPAREN    | )                   | 77    | 28      | 
| LBRACE    | {                   | 77    | 30      | 
| EOL       |                     | 77    | 31      | 
| IDENT     | print               | 78    | 13      | 
| LPAREN    | (                   | 78    | 13      | 
| STRING    | Start               | 78    | 20      | 
| RPAREN    | )                   | 78    | 21      | 
| SEMICOLON | ;                   | 78    | 22      | 
| EOL       |                     | 78    | 23      | 
| RBRACE    | }                   | 79    | 6       | 
| ELIF      | elif                | 79    | 8       | 
| LPAREN    | (                   | 79    | 13      | 
| IDENT     | mode                | 79    | 18      | 
| EQ        | ==                  | 79    | 19      | 
| IDENT     | Mode                | 79    | 26      | 
| DOT       | .                   | 79    | 26      | 
| IDENT     | Run                 | 79    | 30      | 
| RPAREN    | )                   | 79    | 30      | 
| LBRACE    | {                   | 79    | 32      | 
| EOL       |                     | 79    | 33      | 
| IDENT     | print               | 80    | 13      | 
| LPAREN    | (                   | 80    | 13      | 
| STRING    | Run                 | 80    | 18      | 
| RPAREN    | )                   | 80    | 19      | 
| SEMICOLON | ;                   | 80    | 20      | 
| EOL       |                     | 80    | 21      | 
| RBRACE    | }                   | 81    | 6       | 
| ELSE      | else                | 81    | 8       | 
| LBRACE    | {                   | 81    | 13      | 
| EOL       |                     | 81    | 14      | 
| IDENT     | print               | 82    | 13      | 
| LPAREN    | (                   | 82    | 13      | 
| STRING    | Stop                | 82    | 19      | 
| RPAREN    | )                   | 82    | 20      | 
| SEMICOLON | ;                   | 82    | 21      | 
| EOL       |                     | 82    | 22      | 
| RBRACE    | }                   | 83    | 6       | 
| EOL       |                     | 83    | 7       | 
| RBRACE    | }                   | 84    | 4       | 
| EOL       |                     | 84    | 5       | 
| EOL       |                     | 85    | 2       | 
| IMPURE    | impure              | 86    | 4       | 
| IDENT     | loopCounter         | 86    | 22      | 
| LPAREN    | (                   | 86    | 22      | 
| IDENT     | max                 | 86    | 26      | 
| COLON     | :                   | 86    | 26      | 
| IDENT     | int                 | 86    | 31      | 
| RPAREN    | )                   | 86    | 31      | 
| LBRACE    | {                   | 86    | 33      | 
| EOL       |                     | 86    | 34      | 
| IDENT     | i                   | 87    | 7       | 
| COLON     | :                   | 87    | 7       | 
| IDENT     | int                 | 87    | 12      | 
| ASSIGN    | =                   | 87    | 13      | 
| INTEGER   | 0                   | 87    | 16      | 
| SEMICOLON | ;                   | 87    | 16      | 
| EOL       |                     | 87    | 17      | 
| WHILE     | while               | 88    | 6       | 
| LPAREN    | (                   | 88    | 12      | 
| IDENT     | i                   | 88    | 14      | 
| LT        | <                   | 88    | 15      | 
| IDENT     | max                 | 88    | 20      | 
| RPAREN    | )                   | 88    | 20      | 
| LBRACE    | {                   | 88    | 22      | 
| EOL       |                     | 88    | 23      | 
| IDENT     | i                   | 89    | 9       | 
| PLUS_ASSIGN| +=                  | 89    | 10      | 
| INTEGER   | 1                   | 89    | 14      | 
| SEMICOLON | ;                   | 89    | 14      | 
| EOL       |                     | 89    | 15      | 
| IDENT     | print               | 90    | 13      | 
| LPAREN    | (                   | 90    | 13      | 
| IDENT     | i                   | 90    | 15      | 
| RPAREN    | )                   | 90    | 15      | 
| SEMICOLON | ;                   | 90    | 16      | 
| EOL       |                     | 90    | 17      | 
| RBRACE    | }                   | 91    | 6       | 
| EOL       |                     | 91    | 7       | 
| RBRACE    | }                   | 92    | 4       | 
| EOL       |                     | 92    | 5       | 
| EOL       |                     | 93    | 2       | 
| PURE      | pure                | 94    | 4       | 
| IDENT     | logicCheck          | 94    | 19      | 
| LPAREN    | (                   | 94    | 19      | 
| IDENT     | a                   | 94    | 21      | 
| COLON     | :                   | 94    | 21      | 
| IDENT     | int                 | 94    | 26      | 
| COMMA     | ,                   | 94    | 26      | 
| IDENT     | b                   | 94    | 29      | 
| COLON     | :                   | 94    | 29      | 
| IDENT     | int                 | 94    | 34      | 
| RPAREN    | )                   | 94    | 34      | 
| ARROW     | ->                  | 94    | 36      | 
| IDENT     | bool                | 94    | 43      | 
| LBRACE    | {                   | 94    | 44      | 
| EOL       |                     | 94    | 45      | 
| RETURN    | return              | 95    | 6       | 
| LPAREN    | (                   | 95    | 13      | 
| IDENT     | a                   | 95    | 15      | 
| GT        | >                   | 95    | 16      | 
| IDENT     | b                   | 95    | 19      | 
| AND       | and                 | 95    | 20      | 
| IDENT     | b                   | 95    | 25      | 
| NE        | !=                  | 95    | 26      | 
| INTEGER   | 0                   | 95    | 30      | 
| RPAREN    | )                   | 95    | 30      | 
| OR        | or                  | 95    | 32      | 
| LPAREN    | (                   | 95    | 35      | 
| IDENT     | a                   | 95    | 37      | 
| LT        | <                   | 95    | 38      | 
| INTEGER   | 0                   | 95    | 41      | 
| OR        | ||                  | 95    | 42      | 
| IDENT     | b                   | 95    | 46      | 
| LT        | <                   | 95    | 47      | 
| INTEGER   | 0                   | 95    | 50      | 
| RPAREN    | )                   | 95    | 50      | 
| SEMICOLON | ;                   | 95    | 51      | 
| EOL       |                     | 95    | 52      | 
| RBRACE    | }                   | 96    | 4       | 
| EOL       |                     | 96    | 5       | 
| EOL       |                     | 97    | 2       | 
| IMPURE    | impure              | 98    | 4       | 
| IDENT     | mathOps             | 98    | 18      | 
| LPAREN    | (                   | 98    | 18      | 
| IDENT     | x                   | 98    | 20      | 
| COLON     | :                   | 98    | 20      | 
| IDENT     | float               | 98    | 27      | 
| COMMA     | ,                   | 98    | 27      | 
| IDENT     | y                   | 98    | 30      | 
| COLON     | :                   | 98    | 30      | 
| IDENT     | float               | 98    | 37      | 
| RPAREN    | )                   | 98    | 37      | 
| ARROW     | ->                  | 98    | 39      | 
| IDENT     | float               | 98    | 47      | 
| LBRACE    | {                   | 98    | 48      | 
| EOL       |                     | 98    | 49      | 
| IDENT     | x                   | 99    | 7       | 
| MULTIPLY_ASSIGN| *=                  | 99    | 8       | 
| INTEGER   | 2                   | 99    | 12      | 
| SEMICOLON | ;                   | 99    | 12      | 
| EOL       |                     | 99    | 13      | 
| IDENT     | y                   | 100   | 7       | 
| DIVIDE_ASSIGN| /=                  | 100   | 8       | 
| INTEGER   | 3                   | 100   | 12      | 
| SEMICOLON | ;                   | 100   | 12      | 
| EOL       |                     | 100   | 13      | 
| RETURN    | return              | 101   | 6       | 
| IDENT     | x                   | 101   | 14      | 
| PLUS      | +                   | 101   | 15      | 
| IDENT     | y                   | 101   | 18      | 
| MINUS     | -                   | 101   | 19      | 
| IDENT     | PI                  | 101   | 23      | 
| SEMICOLON | ;                   | 101   | 23      | 
| EOL       |                     | 101   | 24      | 
| RBRACE    | }                   | 102   | 4       | 
| EOL       |                     | 102   | 5       | 
| EOL       |                     | 103   | 2       | 
| ON        | on                  | 104   | 4       | 
| IDENT     | error               | 104   | 12      | 
| LPAREN    | (                   | 104   | 12      | 
| IDENT     | message             | 104   | 20      | 
| COLON     | :                   | 104   | 20      | 
| IDENT     | string              | 104   | 28      | 
| RPAREN    | )                   | 104   | 28      | 
| LBRACE    | {                   | 104   | 30      | 
| EOL       |                     | 104   | 31      | 
| IDENT     | print               | 105   | 11      | 
| LPAREN    | (                   | 105   | 11      | 
| STRING    | Error:              | 105   | 20      | 
| PLUS      | +                   | 105   | 22      | 
| IDENT     | message             | 105   | 31      | 
| RPAREN    | )                   | 105   | 31      | 
| SEMICOLON | ;                   | 105   | 32      | 
| EOL       |                     | 105   | 33      | 
| RBRACE    | }                   | 106   | 4       | 
| EOL       |                     | 106   | 5       | 
| EOL       |                     | 107   | 2       | 
| BUS       | bus                 | 108   | 4       | 
| IDENT     | transmit            | 108   | 16      | 
| LPAREN    | (                   | 108   | 16      | 
| IDENT     | data                | 108   | 21      | 
| COLON     | :                   | 108   | 21      | 
| IDENT     | string              | 108   | 29      | 
| RPAREN    | )                   | 108   | 29      | 
| LBRACE    | {                   | 108   | 31      | 
| EOL       |                     | 108   | 32      | 
| IDENT     | print               | 109   | 11      | 
| LPAREN    | (                   | 109   | 11      | 
| STRING    | Transmitting:       | 109   | 27      | 
| PLUS      | +                   | 109   | 29      | 
| IDENT     | data                | 109   | 35      | 
| RPAREN    | )                   | 109   | 35      | 
| SEMICOLON | ;                   | 109   | 36      | 
| EOL       |                     | 109   | 37      | 
| RBRACE    | }                   | 110   | 4       | 
| EOL       |                     | 110   | 5       | 
| RBRACE    | }                   | 111   | 2       | 
| EOL       |                     | 111   | 3       | 
| EOL       |                     | 112   | 2       | 
| COMMENT   |  === Implementati...| 113   | 51      | 
| EOL       |                     | 113   | 52      | 
| IMPL      | impl                | 114   | 1       | 
| IDENT     | Display             | 114   | 13      | 
| LBRACE    | {                   | 114   | 14      | 
| EOL       |                     | 114   | 15      | 
| META      | meta                | 115   | 4       | 
| IDENT     | init                | 115   | 13      | 
| LPAREN    | (                   | 115   | 13      | 
| RPAREN    | )                   | 115   | 14      | 
| LBRACE    | {                   | 115   | 16      | 
| EOL       |                     | 115   | 17      | 
| IDENT     | text                | 116   | 10      | 
| ASSIGN    | =                   | 116   | 11      | 
| STRING    | Hello               | 116   | 19      | 
| SEMICOLON | ;                   | 116   | 20      | 
| EOL       |                     | 116   | 21      | 
| IDENT     | brightness          | 117   | 16      | 
| ASSIGN    | =                   | 117   | 17      | 
| INTEGER   | 10                  | 117   | 21      | 
| SEMICOLON | ;                   | 117   | 21      | 
| EOL       |                     | 117   | 22      | 
| RBRACE    | }                   | 118   | 4       | 
| EOL       |                     | 118   | 5       | 
| EOL       |                     | 119   | 2       | 
| BUS       | bus                 | 120   | 4       | 
| IDENT     | broadcast           | 120   | 17      | 
| LPAREN    | (                   | 120   | 17      | 
| IDENT     | signal              | 120   | 24      | 
| COLON     | :                   | 120   | 24      | 
| IDENT     | string              | 120   | 32      | 
| RPAREN    | )                   | 120   | 32      | 
| LBRACE    | {                   | 120   | 34      | 
| EOL       |                     | 120   | 35      | 
| IDENT     | print               | 121   | 11      | 
| LPAREN    | (                   | 121   | 11      | 
| STRING    | Broadcasting:       | 121   | 27      | 
| PLUS      | +                   | 121   | 29      | 
| IDENT     | signal              | 121   | 37      | 
| RPAREN    | )                   | 121   | 37      | 
| SEMICOLON | ;                   | 121   | 38      | 
| EOL       |                     | 121   | 39      | 
| RBRACE    | }                   | 122   | 4       | 
| EOL       |                     | 122   | 5       | 
| EOL       |                     | 123   | 2       | 
| ON        | on                  | 124   | 4       | 
| IDENT     | update              | 124   | 13      | 
| LPAREN    | (                   | 124   | 13      | 
| RPAREN    | )                   | 124   | 14      | 
| LBRACE    | {                   | 124   | 16      | 
| EOL       |                     | 124   | 17      | 
| IDENT     | print               | 125   | 11      | 
| LPAREN    | (                   | 125   | 11      | 
| STRING    | Display updated     | 125   | 28      | 
| RPAREN    | )                   | 125   | 29      | 
| SEMICOLON | ;                   | 125   | 30      | 
| EOL       |                     | 125   | 31      | 
| RBRACE    | }                   | 126   | 4       | 
| EOL       |                     | 126   | 5       | 
| EOL       |                     | 127   | 2       | 
| IMPURE    | impure              | 128   | 4       | 
| IDENT     | toggle              | 128   | 17      | 
| LPAREN    | (                   | 128   | 17      | 
| IDENT     | state               | 128   | 23      | 
